video_id,channel_id,video_title,channel_title,category_name,live_upcoming_none,view_count,like_count,dislike_count,comment_count,published_at,tags,duration,definition,caption,thumbnail,url
Z5cG6m0fYXY,UCXIJgqnII2ZOINSWNOGFThA,white house coronavirus task force member peter navarro on federal governments response to covid,Fox News,News & Politics,none,75134,1220,0,508,2020-03-22T01:19:16Z,"politics,Fox News Channel,Fox News,Judge Jeanine,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,covid 19,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,viral disease,diseases,white house,coronavirus relief bill,Coronavirus china,coronavirus bill,public health,public health crisis,coronavirus cases,virus,social distancing,Peter Navarro,White House Trade Adviser",PT6M5S,hd,True,https://i.ytimg.com/vi/Z5cG6m0fYXY/default.jpg,https://www.youtube.com/watch?v=Z5cG6m0fYXY
9LBUutWsfBc,UCXIJgqnII2ZOINSWNOGFThA,traveling amid the coronavirus outbreak what you need to know,Fox News,News & Politics,none,16967,224,0,127,2020-03-09T17:58:00Z,"health,coronavirus,virus,coronavirus update,travel,travel info,travel during coronavirus,fox news,fox news channel,travelling,fox,news",PT2M14S,hd,False,https://i.ytimg.com/vi/9LBUutWsfBc/default.jpg,https://www.youtube.com/watch?v=9LBUutWsfBc
_FUiPbzoGSQ,UCXIJgqnII2ZOINSWNOGFThA,ben carson on coronavirus pandemic we cant operate out of hysteria,Fox News,News & Politics,none,247374,5021,0,1530,2020-04-10T00:14:46Z,"health,ben carson,ben carson HUD,carson,Ben Carson fox news,HUD secretary,ben carsn coronavirus,coronavirus economy,american economy,americans woried about economy,health disparities,minority health disparities,coronavirus models,the story,the story martha maccallum,martha maccallum,maccallum,ben carson maccallum,coronavirus,coronavirus outbreak,coronavirus pandemic,covid-19,fox news,fox news channel,fox news media,fox news network,covid-19 pandemic",PT6M36S,hd,True,https://i.ytimg.com/vi/_FUiPbzoGSQ/default.jpg,https://www.youtube.com/watch?v=_FUiPbzoGSQ
DZLQRA5XwPY,UCXIJgqnII2ZOINSWNOGFThA,gun sales skyrocket during coronavirus pandemic,Fox News,News & Politics,none,119309,2228,0,1207,2020-03-18T23:10:00Z,"Gun sales,coronavirus,coronavirus gun sales,gun sale spikes,ammunition sales,coronavirus ammunition sales,coronavirus gun sale spike,safe gun rights,second ammendment,ammunition shortage,William La Jeunesse,fox news coronavirus,fox news coronavirus coverage,looting,marshal law,fnc,fox news,fox news channel,fox news media,fox news network,coronavirus guns,coronavirus outbreak,coronavirus news,pandemic,pandemic fear,coronavirus fear",PT2M3S,hd,True,https://i.ytimg.com/vi/DZLQRA5XwPY/default.jpg,https://www.youtube.com/watch?v=DZLQRA5XwPY
kUZgGQwYL7c,UCXIJgqnII2ZOINSWNOGFThA,ohio gov on decision not to postpone tuesdays primary amid coronavirus,Fox News,News & Politics,none,67313,839,0,522,2020-03-14T19:11:49Z,"Fox News Channel,Fox News,News,politics,Mike DeWine,Ohio Governor,Ohio coronavirus,coronavirus,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,ohio news,Democratic primary,Democrats,Dems,Joe BIden,Bernie Sanders",PT3M42S,hd,True,https://i.ytimg.com/vi/kUZgGQwYL7c/default.jpg,https://www.youtube.com/watch?v=kUZgGQwYL7c
lJcjFGt9eQM,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,185725,2442,0,950,2020-03-16T18:00:09Z,"Fox News Channel,Fox news,News,FNC,outnumbered overtime,harris faulkner,harris faulkner fox news,dr siegel,coronavirus,coronavirus questions,self quarantine,coronavirus news,coronavirus updates,trump,donald trump,president trump,trump coronavirus,trump coronavirus task force,coronavirus task force,health,health crisis,public health crisis,us public health crisis,fox news coronavirus,how to avoid coronavirus,corona virus,response to coronavirus",PT9M49S,hd,True,https://i.ytimg.com/vi/lJcjFGt9eQM/default.jpg,https://www.youtube.com/watch?v=lJcjFGt9eQM
wqX2PuPTOhM,UCXIJgqnII2ZOINSWNOGFThA,house passes b coronavirus package,Fox News,News & Politics,none,135517,1644,0,335,2020-12-22T02:47:48Z,"Fox News Channel,FNC,Fox News,fox news house,house of reps,house passes covid-19 package,house passes coronavirus package,coronavirus package,900B covid package,fox news breaking news,breaking news",PT5H8M41S,hd,False,https://i.ytimg.com/vi/wqX2PuPTOhM/default.jpg,https://www.youtube.com/watch?v=wqX2PuPTOhM
xhpqX1NbusQ,UCXIJgqnII2ZOINSWNOGFThA,coronavirus pandemic questions answered  part ,Fox News,News & Politics,none,39504,500,0,282,2020-03-16T18:25:52Z,"Fox News Channel,Fox News,News,FNC,harris faulkner,harris faulkner fox news,outnumbered overtime,coronavirus,corona virus,us coronavirus,coronavirus outbreak,coronavirus pandemic,coronavirus in the us,trump,trump coronavirus,trump coronavirus task force,coronavirus task force,coronavirus response,us coronavirus response,coronavirus news,coronavirus updates,pandemic",PT5M50S,hd,True,https://i.ytimg.com/vi/xhpqX1NbusQ/default.jpg,https://www.youtube.com/watch?v=xhpqX1NbusQ
ebtpY4jZ9ds,UCXIJgqnII2ZOINSWNOGFThA,new study details lifespan of coronavirus in air on surfaces,Fox News,News & Politics,none,90744,1322,0,339,2020-03-19T16:08:27Z,"Fox News Channel,Fox News,News,health,Coronavirus,wuhan coronavirus,wuhan china,Coronavirus treatment,Coronavirus china,coronavirus bill,public health,public health crisis,covid 19,coronavirus cases,us health,global health,coronavirus pandemic,China,Chinese government,coronavirus quarantine,virus,viral disease,diseases,white house,coronavirus relief bill,social distancing",PT2M,hd,True,https://i.ytimg.com/vi/ebtpY4jZ9ds/default.jpg,https://www.youtube.com/watch?v=ebtpY4jZ9ds
G6HbxcCb-7g,UCXIJgqnII2ZOINSWNOGFThA,trump declares national emergency over coronavirus,Fox News,News & Politics,none,1870066,21354,0,4674,2020-03-13T20:56:58Z,"Trump,President Trump,Donald Trump,Potus,President,White House,White House news,Trump news,Fox news live,fox news live stream,live stream,fox live,Live updates,live video,Live news,fox live stream,trump remarks,trump remarks live,trump speech,Trump speech live,trump live,trump news,trump today,White House Live,White House Today,White House News,trump press conference,trump news conference,coronavirus,trump coronavirus,bolsonaro",PT1H12M37S,hd,False,https://i.ytimg.com/vi/G6HbxcCb-7g/default.jpg,https://www.youtube.com/watch?v=G6HbxcCb-7g
